"","station","vegetation","habitat"
"1","BSN01",1.43952435344779,"forest"
"2","BSN02",1.76982251051672,"crop"
"3","BSN03",3.55870831414912,"crop"
"4","BSN04",2.07050839142458,"crop"
"5","BSN05",2.12928773516095,"crop"
"6","BSN06",3.71506498688328,"crop"
"7","BSN07",2.4609162059892,"forest"
"8","BSN08",0.734938765393466,"forest"
"9","BSN09",1.31314714810647,"crop"
"10","BSN10",1.55433802990004,"forest"
"11","BSN11",3.22408179743946,"crop"
"12","BSN12",2.35981382705736,"forest"
"13","BSN13",2.40077145059405,"forest"
"14","BSN14",2.11068271594512,"crop"
"15","BSN15",1.44415886524592,"forest"
"16","BSN16",3.78691313680308,"crop"
"17","BSN17",2.49785047822924,"forest"
"18","BSN18",0.0333828433703618,"forest"
"19","BSN19",2.70135590156369,"forest"
"20","BSN20",1.52720859227207,"forest"
"21","BSN21",0.932176294013155,"forest"
"22","BSN22",1.7820250853417,"forest"
"23","BSN23",0.97399555169276,"forest"
"24","BSN24",1.27110877070886,"forest"
"25","BSN25",1.37496073215074,"forest"
"26","BSN26",0.313306689257587,"crop"
"27","BSN27",2.83778704449452,"forest"
"28","BSN28",2.15337311783652,"crop"
"29","BSN29",0.861863062988052,"crop"
"30","BSN30",3.25381492106993,"forest"
